Id, FrameVoice, meanProb, stdProb
954.wav,43.0,0.24848728361550212,0.35125263821049674
397.wav,495.0,0.2238410002944661,0.33151997183288107
466.wav,500.0,0.1359878380346541,0.2516317037702706
1292.wav,656.0,0.14734469316091564,0.23104656072546656
1715.wav,32.0,0.47627222998935453,0.36807165794400587
2492.wav,49.0,0.31708769744827914,0.32716728643535636
2742.wav,431.0,0.13066395658601182,0.24452022086869016
2671.wav,573.0,0.08770401110128616,0.17312727408193487
2697.wav,633.0,0.18601467995365217,0.3163855843650249
991.wav,47.0,0.4131021876092362,0.36157036787013525
167.wav,563.0,0.3261581009372707,0.37235949492139525
1349.wav,914.0,0.35453795915279424,0.41451050889822694
2559.wav,47.0,0.3367520507289753,0.3895180486899323
1188.wav,445.0,0.12962924948953913,0.22304551203851603
1697.wav,1316.0,0.25607598092467276,0.3729589361425016
2257.wav,454.0,0.11400486155950805,0.22665732514528028
2556.wav,445.0,0.24535787551174007,0.35544076336451746
2277.wav,82.0,0.4586486293331337,0.4274177728204085
2005.wav,1239.0,0.32657063592136965,0.4003688472525553
1724.wav,539.0,0.1488432721502819,0.2803319444363803
2916.wav,966.0,0.09991076039738239,0.21131039376582994
811.wav,29.0,0.24646483276564732,0.36033948772809127
1567.wav,604.0,0.12914128191265933,0.22263488561613834
1898.wav,701.0,0.16629938874836114,0.2687814663797268
2573.wav,613.0,0.26421361292068163,0.3515812589962936
126.wav,694.0,0.25189870188742625,0.3511572819684971
2566.wav,43.0,0.37557051197236824,0.41540885971298463
277.wav,599.0,0.16688425475516558,0.27905274063867785
539.wav,1063.0,0.22782254062151464,0.34081745174467903
1285.wav,48.0,0.279035164855191,0.3152439346764974
14.wav,41.0,0.5449454249392366,0.41117551281087794
1276.wav,626.0,0.09678895455225023,0.20547799212509302
1573.wav,71.0,0.4975298766144989,0.38376829804074936
2701.wav,908.0,0.21746569270906646,0.3188721770526685
1683.wav,59.0,0.6004656917950295,0.4296842749641853
535.wav,43.0,0.2902015618628806,0.352028229265655
1849.wav,746.0,0.16331144909984022,0.28685590936564753
2533.wav,32.0,0.22194384640061543,0.31004710888192083
2099.wav,37.0,0.3568154009018376,0.37959969823559303
2385.wav,441.0,0.11652826410496087,0.2265002621882291
130.wav,44.0,0.3892292695253751,0.37543782422190064
459.wav,560.0,0.24507912345207924,0.3278067846677771
751.wav,88.0,0.324302633304375,0.3672088372207972
2843.wav,607.0,0.26009297620254573,0.3397454617690912
1561.wav,422.0,0.09602460052310882,0.20771948692363132
1846.wav,616.0,0.2021543612164511,0.3137979594048095
2034.wav,78.0,0.21590859680847158,0.30716656170740764
316.wav,32.0,0.26207043242723366,0.3508198352988433
2924.wav,648.0,0.233036920103589,0.31918208151219096
846.wav,639.0,0.34525688313963077,0.37897613090406607
1528.wav,539.0,0.24839467212187702,0.35780958234927607
2502.wav,53.0,0.3408725559566108,0.355210723675411
2201.wav,89.0,0.436395291089564,0.38166436243008794
1832.wav,41.0,0.23169435946511108,0.3109114562572566
2447.wav,48.0,0.4327001776074271,0.42257823590755367
928.wav,816.0,0.2960899428483253,0.3647271408636446
734.wav,99.0,0.5142633652415641,0.4039881314068193
1080.wav,472.0,0.08900253650669565,0.19136075791998375
373.wav,52.0,0.5830277576840246,0.3563351366347276
2095.wav,587.0,0.1756492371691604,0.2942544254285932
1101.wav,41.0,0.4818933523722626,0.4133746700451321
1543.wav,623.0,0.10492839569497976,0.2019184558716375
1129.wav,57.0,0.6386126101406207,0.3865503248247185
1698.wav,751.0,0.23565567738304832,0.3440784357083832
1031.wav,431.0,0.11946982646347618,0.2249408091370751
2568.wav,54.0,0.6005660944392074,0.3867021788289413
782.wav,152.0,0.350513341535918,0.3861253105278262
2478.wav,574.0,0.06172528079220841,0.129055422707411
2760.wav,1040.0,0.12607168499282076,0.22976253985608608
511.wav,70.0,0.37616745845634164,0.36526612195202274
1560.wav,37.0,0.2857012375825081,0.3239141920046509
2629.wav,455.0,0.13610498521021575,0.23877816429213347
1787.wav,625.0,0.19569746835654486,0.3211779866774788
389.wav,922.0,0.3030454752915755,0.38788631809802293
1182.wav,570.0,0.12146113549953047,0.25050694844362104
1392.wav,38.0,0.4929136347183741,0.397725641100115
2750.wav,131.0,0.28911593027138216,0.35978897923433417
1391.wav,742.0,0.29315319727970607,0.37723336427063253
1775.wav,468.0,0.05257501336981294,0.12619486149315026
1663.wav,909.0,0.3660968786924091,0.4353394475313499
1115.wav,811.0,0.2931265278259672,0.36229480724397983
1089.wav,41.0,0.37257349156012337,0.4119992406970226
1469.wav,561.0,0.27011455581325816,0.3552974069913494
1317.wav,195.0,0.04888513524226763,0.13720588306293546
1591.wav,691.0,0.180667803543991,0.2659274659380849
1893.wav,903.0,0.2148846752907388,0.32601629404953586
1519.wav,634.0,0.2111948825769624,0.33551024073933094
1608.wav,42.0,0.4976835940242633,0.4159344112439975
191.wav,733.0,0.10140406761039372,0.21318950212564
2238.wav,593.0,0.1943764658819228,0.31639003836973406
706.wav,132.0,0.07050288911730442,0.16668104471129103
1590.wav,47.0,0.16353945344973184,0.2578097157332891
234.wav,29.0,0.2347838182711571,0.29286397453668933
392.wav,62.0,0.25343432376929037,0.3012271596090017
2709.wav,35.0,0.3741445414378429,0.36572201323602
2845.wav,616.0,0.17406155602787315,0.24318521454917827
2258.wav,652.0,0.1809787576152695,0.30580238465991894
2403.wav,38.0,0.3070831381876194,0.3742665608743828
2505.wav,36.0,0.3896072640402455,0.4116461936249473
2274.wav,318.0,0.08301831781213304,0.1944541082363529
1465.wav,672.0,0.19519823528031752,0.30152778044451034
1705.wav,592.0,0.14390924872771277,0.25498842077993333
448.wav,954.0,0.23178538150126088,0.32924833348496435
1032.wav,51.0,0.7117512053249887,0.3762332161859368
2282.wav,1207.0,0.3452580731788516,0.4296359899219096
884.wav,626.0,0.41003250741487973,0.3999160893977583
1538.wav,71.0,0.31088634197851395,0.3563428802625147
1354.wav,450.0,0.07997914322306576,0.19097767415640177
1925.wav,580.0,0.14921330309438924,0.26847665652153246
2889.wav,539.0,0.09488054796387761,0.19099490597183394
2662.wav,50.0,0.5958952163261999,0.38376188338402223
1998.wav,684.0,0.22613226473669057,0.318239348592539
