Id,Predicted
2539,60.35
5121,69.6
5203,98.25
5238,212.17
6848,168.87
7322,107.29
7726,177.29
7750,280.94
8025,144.06
9783,69.27
12048,81.77
14287,221.64
14290,168.97
14314,215.39
14322,219.58
15711,223.36
16421,103.09
18127,220.4
18728,145.62
19601,242.26
20299,100.75
20724,83.6
20853,249.29
20913,187.56
21293,139.45
22911,194.8
25406,135.84
27531,103.66
27659,241.99
28321,117.94
29013,82.53
29455,167.37
32037,205.84
32100,196.29
32965,137.24
32969,187.25
33223,107.98
36121,95.99
36442,153.31
38638,241.24
40039,116.31
42580,77.14
43957,81.51
44096,69.53
44212,104.29
44221,224.79
47926,275.25
50447,166.29
51572,127.72
53137,222.03
55498,105.58
55982,79.49
57297,237.17
57618,184.51
57874,166.96
58059,77.31
58467,95.92
60164,332.36
60666,75.07
60794,208.6
61406,95.08
62427,210.56
63299,82.11
63657,151.6
63719,83.09
64277,74.79
64837,95.55
65562,204.32
65615,175.07
66741,192.46
67299,220.9
68305,68.56
68765,189.06
69921,65.68
71248,217.96
72265,96.13
74073,217.5
77765,243.49
82638,196.71
83446,167.66
84059,107.46
89621,103.48
93313,150.18
98663,227.16
112435,108.32
117425,237.88
118061,139.88
120362,194.13
121861,299.75
123784,257.99
132695,154.24
138216,151.32
140973,204.46
144087,199.96
145188,294.84
148825,227.89
150804,173.47
151478,91.31
152263,190.63
155296,207.38
161366,57.59
162493,200.41
162508,179.04
163836,75.85
165824,60.46
166541,76.99
167482,190.84
168546,253.19
170420,145.31
172700,136.78
172870,83.73
174966,152.5
176135,167.49
180507,116.64
188674,208.76
193105,98.01
193333,77.17
195233,77.07
195971,160.55
200645,128.72
204833,120.17
206772,157.94
206957,152.05
208889,160.75
213272,64.73
219818,205.59
220351,66.85
220946,217.88
221043,203.7
221097,165.99
225297,185.92
226021,202.77
227735,219.61
230321,177.39
232618,176.91
234184,221.14
236788,244.07
239899,112.49
243708,171.96
246351,168.07
250311,72.06
250536,158.79
251262,90.19
251277,138.26
253815,199.61
254409,164.07
255476,82.65
255601,131.15
256369,113.28
258686,68.51
258740,76.72
262343,224.28
262405,118.8
262478,130.6
263502,220.9
265506,192.13
265831,325.58
266756,247.51
267376,99.11
267652,69.74
268392,201.43
268481,160.96
269889,93.54
270231,79.61
270345,251.01
270680,134.61
271128,68.52
271694,213.93
272026,117.49
274376,241.5
276317,208.03
281756,171.94
282514,77.28
282977,109.79
283184,205.03
284208,67.07
286838,79.9
287397,180.82
287408,228.32
289288,254.81
290457,231.1
293004,184.11
295231,74.41
295379,173.14
296361,60.98
297962,161.93
298759,68.17
301034,91.86
303345,219.3
310338,79.62
317905,126.3
320876,177.76
329064,141.56
333189,95.01
334607,183.62
335819,140.39
342995,85.16
351530,199.94
353317,265.58
359982,84.08
360400,131.38
361803,72.78
364785,89.26
369411,92.25
380416,212.23
380730,130.9
386555,85.49
387377,233.91
393016,135.17
394026,99.67
397034,131.09
398281,214.16
404502,91.16
430665,202.99
431865,186.39
433218,272.76
437906,150.03
438513,116.39
443646,200.88
447766,115.88
448048,63.66
453161,182.19
454763,108.42
454929,226.48
455734,105.06
457829,193.7
461050,239.18
467634,82.17
476570,121.59
478949,197.7
479002,168.6
479285,98.37
483414,69.35
484728,128.2
486350,153.55
488083,175.92
490011,154.64
491977,239.08
495249,62.7
498120,59.47
503460,72.44
503529,206.88
505315,63.29
506121,95.57
507393,64.24
514457,136.11
518566,120.5
519310,78.34
521806,106.08
528485,86.81
532749,189.25
533625,146.32
539160,153.78
539350,172.01
544039,118.09
545261,165.53
546383,63.6
546573,267.45
548184,177.92
550777,262.58
552141,262.77
557487,152.59
564049,158.56
565814,81.48
567195,118.25
575061,89.13
577324,135.12
577824,62.69
578267,96.06
580323,98.12
581421,89.91
582372,66.09
585937,174.05
588677,140.26
591135,167.03
592853,161.05
593320,61.72
594732,260.91
595321,89.07
597624,186.45
606269,229.31
607735,263.01
607781,187.15
609213,139.27
611009,183.26
616585,249.16
618916,184.52
619122,67.19
635662,79.06
637228,61.09
651475,116.02
651648,256.49
655472,119.65
658008,139.51
658366,232.28
658932,61.32
660036,113.71
668400,62.59
669831,87.88
670767,49.77
671496,68.51
674692,57.26
679769,71.82
680998,163.13
681518,90.93
682122,137.89
683681,245.79
684808,172.59
684991,136.37
690349,201.08
692137,204.1
695002,259.55
697923,109.05
698514,195.98
698882,88.13
700530,214.26
700916,170.94
702440,180.62
702551,315.58
704838,132.91
712136,69.03
712260,93.26
714028,131.89
718761,131.78
721762,215.33
727835,86.97
731316,236.2
735677,186.04
747419,136.07
749455,134.56
753991,127.51
754353,62.67
755703,59.3
760303,183.4
763600,65.83
764052,146.79
765203,72.34
765315,89.57
769279,91.17
769448,209.73
772362,215.97
772679,259.47
773041,46.13
775280,153.16
778381,95.68
782554,232.7
786685,196.96
794245,58.88
795198,90.32
795641,72.71
796232,130.85
796523,144.62
798128,165.59
799829,134.93
799924,125.01
802677,164.73
808705,152.99
808774,243.28
810346,63.11
810681,244.29
811450,94.19
813793,241.49
814327,94.15
817113,85.55
818337,70.4
819206,75.61
823631,74.9
824421,87.46
825486,168.78
825545,129.72
826307,68.1
826603,66.82
829935,94.52
834968,192.59
836720,198.45
841075,125.52
846799,75.45
848087,155.16
848170,148.85
849409,172.63
850712,194.45
851130,66.78
853900,124.02
854253,147.83
855206,106.36
856440,158.62
864790,129.31
865355,62.63
867721,68.43
872035,99.65
875111,126.61
887129,223.09
888583,198.13
894063,91.75
898861,128.07
900383,51.4
904060,234.82
906058,87.4
918239,91.67
919491,96.53
919830,132.97
921624,178.88
924658,33.27
929032,103.81
