,meanF0,stdF0,maxF0,minF0,center_of_gravity,standard_deviation,skewness,intensity,energy,energy_in_air,power,power_in_air,rms,duration,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_max_0,mfcc_max_1,mfcc_max_2,jitter,shimmer,hnr,zcrMean,zcrStd,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,age
1.wav,75.8029606530722,117.83515093545374,578.5385776253049,130.49729214058166,1649.296779017354,1672.0273303034035,3.091895333489391,60.146767153684436,0.014520611293492459,3.630152823373115e-05,0.0004137487614156603,1.0343719035391507e-06,0.020340815161041612,35.095238095238095,27308.670356842165,90.90345671517932,16.010235346882936,66742.51325450286,58.962539357213196,10.528453967679605,924665.2778221711,515.5580761883555,30.999992319599844,0.01379450548252,0.0827253733083098,-123.9997262692494,16.999842379136783,10.099505664707195,0.08100709998236263,0.06420519635239749,0.06996022901174132,0.09268961908556736,0.07047792256200654,0.08783472072525238,0.07013553676921316,0.10724902812280969,0.17391164725533492,0.0628197278440287,0.05880997661562543,0.060899295673660404,0.09124130548505725,0.06112659305586515,0.0681600634844025,0.08585051810077904,0.06835275226601607,0.08141684877282561,0.08358940667146794,0.10144261560849022,0.2555391785594086,0.0720045879011548,0.057384773058536793,0.057403471186096976,24.0
2.wav,72.62834883574422,96.53963956059192,277.55836130237105,78.882468068322,958.1781430531646,748.2726759376847,2.3823066524336913,62.5950552798713,0.016963064678417475,4.240766169604369e-05,0.000727052076778543,1.8176301919463574e-06,0.02696390321853539,23.3312925170068,23892.12634767846,97.4631551792423,9.647330901611511,56774.26599472485,56.19139687038007,8.369566432867515,1147554.388940977,476.4242948118731,30.998978556083486,0.0253485121269184,0.0962424747690059,-86.92847782058215,11.000024267742447,6.633266087922877,0.1282315581551871,0.07055705075680997,0.061470714188201554,0.09462160856069773,0.06245360901998745,0.08183682825670496,0.05901030577221248,0.0707586337647252,0.09666203988262637,0.07272428617363702,0.09763164357888136,0.10404172189032874,0.09326362378738126,0.05650914378944996,0.057879521584582524,0.07348496926781412,0.05755355175413177,0.05308540782965711,0.0595271730483031,0.05901779903787354,0.11581275723111427,0.06628259644775975,0.08484673904057786,0.08968256350379114,22.5
3.wav,83.55543345561739,113.58183226750909,586.3931482210169,93.90415144715196,1511.5208027923914,2153.0108358404823,1.9154871170504957,58.626442916802965,0.006317146204481176,1.579286551120294e-05,0.00029154411746235156,7.288602936558789e-07,0.01707466302631919,21.667891156462584,23395.32069301111,95.88302684788684,11.085800745318958,60354.16313486829,53.617315750763915,9.328401735835769,1062132.841289082,533.5998388638429,30.998793803914307,0.0190674156460441,0.1194560931686425,-98.45066996496276,10.000070490251805,6.055003554065477,0.12745957499761296,0.07810518080141603,0.06998554983755972,0.10844907362520324,0.048092876999095466,0.0694910737428016,0.051003159062492934,0.07446674458771317,0.14368767719328837,0.0715248782332009,0.08247688851384764,0.07525732240576798,0.10795241353463683,0.07536763743254109,0.06856996798808326,0.08813116377656867,0.0519947070625022,0.05398913442620516,0.049837852360558405,0.07537996696760786,0.1840988208641251,0.06507074618517603,0.07285042198445767,0.07330074277686184,22.0
4.wav,99.81465286340107,115.95867781424457,592.6966078666309,83.78758129258227,2758.567510263341,3063.5387096202508,1.052277979609495,68.54599303243718,0.0641281710745431,0.00016032042768635777,0.0028619318941503023,7.154829735375755e-06,0.05349702696552681,22.40730158730159,23093.97936838585,92.10678577275272,13.511746110409197,56823.548023319694,49.670962145716224,9.916376790247034,873085.8454416014,411.8603617395779,30.999989950566817,0.0170036758305884,0.1023892640286828,-56.45976166487887,10.500103815421168,6.344292690945111,0.1120823334608003,0.06397412327784086,0.06595719665636134,0.07515091060220783,0.07317210156993635,0.10385888421582284,0.07483180389808698,0.08325783674680373,0.12132945794398502,0.07056091942785858,0.0691931309888235,0.0866313012114727,0.11280319152699889,0.06585382343263697,0.06217965294843477,0.06763811119964779,0.06666503949160507,0.07830234918569459,0.07157832580485847,0.07135312902538771,0.19413318240520785,0.06281652905013456,0.05402742713726313,0.08297058972106999,22.0
5.wav,44.70315027492673,87.71601431037979,599.1799228150065,77.4527219860611,1475.2235181493338,1569.424305590901,1.5053937670518966,63.07370829630149,0.01549685093660923,3.874212734152308e-05,0.0008117659319292574,2.0294148298231436e-06,0.02849150631204425,19.0902947845805,30330.55766330239,106.08594727496968,10.67263307902536,67816.87675019869,49.375922872365514,8.630706724399497,1221176.18751528,407.32207598955654,30.999870760060876,0.0280274095640635,0.1248313100805887,-80.34920393012352,9.000207149302074,5.477030529195954,0.11830518405243422,0.08215091583050925,0.060631625937490274,0.08821732134832413,0.05980404561917461,0.08920268351719626,0.07105616747927142,0.07866090127003476,0.11004439149056856,0.06702557750561616,0.09320562262491656,0.08169556332446379,0.08061992693945011,0.0892836133873022,0.05213930170194775,0.06409502243844356,0.047634941442632646,0.05847517466616232,0.0696445203040212,0.0630365237412336,0.1308034176516895,0.05493390230192535,0.06328299382661431,0.059820251905792016,22.0
6.wav,67.55405048030016,108.61023029515528,594.4743050628828,103.13124338419513,1536.4001913863603,2268.8033946178384,2.466290840994555,68.74470946648276,0.07923481152800887,0.0001980870288200222,0.0029959250065034362,7.489812516258591e-06,0.05473504367864738,26.447528344671202,27182.171353906208,98.23533665490997,12.810773525516995,63068.907117462564,55.75172864694434,9.941533547423514,1203741.171075057,542.6490439188792,30.999981409339178,0.0256415261226269,0.093994300572409,-93.4532295026751,12.500025940612748,7.499931574475664,0.08741442175847819,0.07537167538275194,0.06845427619811274,0.08359036100847371,0.055511625555351246,0.08411587275640942,0.07814570853357759,0.10678907433621775,0.16509731382519718,0.06450797698707068,0.06987927978524756,0.0611224138731119,0.08632236709283823,0.07229094656132762,0.08043173570837997,0.08682323115944364,0.054200753379334145,0.07460322662812122,0.08619652666930833,0.08349695326499292,0.24156474177824527,0.07407913897521909,0.0724687258514472,0.0698272827690736,33.0
7.wav,32.95162801596704,87.27346251493265,598.2246828199549,87.16789780997391,1547.9535300853547,2067.6969761239816,1.966546961583603,59.79167419680139,0.010392447939001844,2.598111984750461e-05,0.00038126541436090246,9.531635359022561e-07,0.019526018907112183,27.25777777777778,32276.79924586748,107.32444706397487,13.736480195405813,83125.57873942117,54.01827983046599,8.889562521033756,1943970.678628848,505.2646955473241,30.999984175394236,0.022058885075647,0.1383218670584982,-132.86498787401757,13.000223401786158,7.788826001331776,0.10950738439472064,0.07870305059039752,0.06313103398602506,0.07797741888497324,0.06347671958416587,0.08771646885663079,0.06741155230204869,0.11007524363588002,0.12492234073842148,0.06217907982874159,0.07759604737052464,0.07730365982747042,0.0927045842834102,0.06977324039704214,0.048976074757212024,0.05859868377687161,0.058349219137498756,0.07142223329214877,0.06638478363217924,0.11303125582334815,0.1715936512909613,0.04903197673817575,0.061419243447112935,0.059966274497483825,18.0
11.wav,59.47607647024842,75.42996056634765,587.9658598168446,77.57127504499668,922.9008292764034,1961.731097668972,3.4159076405474105,61.01967476411623,0.010493852920626984,2.6234632301567462e-05,0.0005058566548099562,1.2646416370248906e-06,0.02249125729722454,20.744716553287983,26825.761862607946,97.88343643415068,9.215120524738397,72649.29066162418,48.72500685094436,8.827335812883573,1296535.5689198356,403.25810834440074,30.997762345504498,0.0215924437193089,0.1021271188123881,-84.30408728079898,9.500215565945451,5.766333899023265,0.09137891877029203,0.09666351751385827,0.0758559262802295,0.1255912255831663,0.08166935834664725,0.10021634440933862,0.05276663844400708,0.08403114046585719,0.11354517127946033,0.055441391730139185,0.06816566835270155,0.054674698824302696,0.06930615261733543,0.08684157129554042,0.0684311567692298,0.09549640932395623,0.0652632656727169,0.08532962575486748,0.05412807100528559,0.08056174437712382,0.15251647406567734,0.060745533436138525,0.056769788530409766,0.0548931127846615,28.0
12.wav,57.49584721877658,78.6287388870837,596.3844899244159,104.44460658999775,1828.238826521522,2131.8673698521297,1.627615984205174,63.36274958571195,0.01903963607042819,4.759909017607047e-05,0.0008676307785765334,2.1690769464413335e-06,0.029455572962964638,21.94439909297052,21332.35032531418,96.46779103198027,12.635769007002375,56815.98048774698,53.67595549629726,9.02096499844027,858793.8078429458,671.8918773414298,30.999985874372193,0.0156853915338826,0.1041882113399699,-86.25695812062388,10.000077351817279,6.05506104868289,0.08520802031383828,0.07592826289826674,0.07320702249495688,0.0947715919142734,0.06626207372682508,0.09309592004987836,0.06958505088285045,0.10888441608094347,0.11781669692075791,0.07119815448745977,0.08046265822129621,0.06358013200865349,0.08205837298172626,0.06148823593475548,0.06264338939845035,0.07732487730454184,0.06768747860022616,0.07194304894037226,0.06285278531662514,0.0956072941739698,0.16107059946535834,0.06178234088896379,0.07060536518066741,0.048990319270629426,20.0
13.wav,75.70069060949889,113.97951602692474,598.4653466081081,78.055680497334,1015.7230225206349,1247.8090845412612,3.128399706315458,62.61926628404858,0.017358994935066197,4.3397487337665494e-05,0.000731116558017423,1.8277913950435575e-06,0.027039167110275847,23.74312925170068,27530.56601211451,97.22264845128646,13.371040715517848,63982.98740341568,51.36734238452564,9.592309365059373,1047064.2174394887,484.8324197706165,30.98121024970188,0.0220877248594145,0.1084095086763988,-103.783291110789,11.00020937089982,6.633331708986397,0.11053370974480958,0.08669247407966658,0.07693555109034993,0.09390245897424804,0.09022555065106042,0.078076560126881,0.05677402276700119,0.07309455693693635,0.08504925551936757,0.07852011310851315,0.07534792005815029,0.0948478269430159,0.08731037456778816,0.07610758133448565,0.0742499342589641,0.09749782258659695,0.13034469324022036,0.06852836404777365,0.05817701337620243,0.06332779976520575,0.06519141650836786,0.07631061467780936,0.06828503995526584,0.09174476022552099,32.0
